  x d=-0.01  y d=-0.01  x d=-0.03  y d=-0.03  x d=-0.06  y d=-0.06  x d=-0.09  y d=-0.09  x d=-0.12  y d=-0.12  x d=-0.15  y d=-0.15  x d=-0.18  y d=-0.18
  -0.34845   -1.24509   -0.34239   -1.22603   -0.33330   -1.19744   -0.32421   -1.16885   -0.31511   -1.14026   -0.30602   -1.11167   -0.29693   -1.08308
  -0.34234   -1.24703   -0.33604   -1.22805   -0.32659   -1.19958   -0.31714   -1.17110   -0.30769   -1.14263   -0.29824   -1.11416   -0.28879   -1.08569
  -0.33626   -1.24905   -0.32972   -1.23015   -0.31991   -1.20180   -0.31011   -1.17345   -0.30030   -1.14509   -0.29049   -1.11674   -0.28069   -1.08839
  -0.33020   -1.25115   -0.32343   -1.23233   -0.31327   -1.20410   -0.30310   -1.17588   -0.29294   -1.14765   -0.28278   -1.11942   -0.27262   -1.09120
  -0.32417   -1.25332   -0.31716   -1.23459   -0.30665   -1.20649   -0.29613   -1.17839   -0.28561   -1.15030   -0.27510   -1.12220   -0.26458   -1.09410
  -0.31817   -1.25557   -0.31093   -1.23692   -0.30006   -1.20896   -0.28919   -1.18100   -0.27832   -1.15304   -0.26745   -1.12508   -0.25658   -1.09711
  -0.31220   -1.25789   -0.30472   -1.23934   -0.29350   -1.21152   -0.28228   -1.18369   -0.27106   -1.15587   -0.25984   -1.12805   -0.24863   -1.10022
  -0.30625   -1.26029   -0.29854   -1.24183   -0.28698   -1.21415   -0.27541   -1.18647   -0.26384   -1.15879   -0.25227   -1.13111   -0.24071   -1.10343
  -0.30034   -1.26276   -0.29240   -1.24440   -0.28048   -1.21687   -0.26857   -1.18934   -0.25666   -1.16180   -0.24474   -1.13427   -0.23283   -1.10674
  -0.29446   -1.26530   -0.28629   -1.24705   -0.27403   -1.21967   -0.26177   -1.19229   -0.24951   -1.16491   -0.23725   -1.13753   -0.22499   -1.11015
  -0.28861   -1.26792   -0.28021   -1.24977   -0.26761   -1.22255   -0.25500   -1.19532   -0.24240   -1.16810   -0.22980   -1.14088   -0.21720   -1.11365
  -0.28280   -1.27062   -0.27417   -1.25257   -0.26122   -1.22551   -0.24828   -1.19845   -0.23534   -1.17138   -0.22239   -1.14432   -0.20945   -1.11725
  -0.27701   -1.27338   -0.26816   -1.25545   -0.25488   -1.22855   -0.24159   -1.20165   -0.22831   -1.17475   -0.21503   -1.14785   -0.20175   -1.12095
  -0.27127   -1.27622   -0.26219   -1.25840   -0.24857   -1.23167   -0.23495   -1.20494   -0.22133   -1.17821   -0.20771   -1.15148   -0.19409   -1.12475
  -0.26556   -1.27913   -0.25626   -1.26143   -0.24230   -1.23487   -0.22835   -1.20831   -0.21439   -1.18175   -0.20044   -1.15520   -0.18648   -1.12864
  -0.25989   -1.28211   -0.25036   -1.26453   -0.23607   -1.23815   -0.22179   -1.21177   -0.20750   -1.18539   -0.19321   -1.15901   -0.17893   -1.13263
  -0.25425   -1.28516   -0.24451   -1.26770   -0.22989   -1.24150   -0.21527   -1.21530   -0.20065   -1.18911   -0.18604   -1.16291   -0.17142   -1.13671
  -0.24865   -1.28829   -0.23869   -1.27095   -0.22375   -1.24493   -0.20880   -1.21892   -0.19385   -1.19291   -0.17891   -1.16690   -0.16396   -1.14089
  -0.24310   -1.29148   -0.23292   -1.27427   -0.21765   -1.24844   -0.20237   -1.22262   -0.18710   -1.19680   -0.17183   -1.17098   -0.15656   -1.14516
  -0.23758   -1.29474   -0.22719   -1.27766   -0.21159   -1.25203   -0.19600   -1.22640   -0.18040   -1.20077   -0.16481   -1.17515   -0.14921   -1.14952
  -0.23211   -1.29808   -0.22150   -1.28112   -0.20558   -1.25569   -0.18967   -1.23026   -0.17375   -1.20483   -0.15784   -1.17940   -0.14192   -1.15397
  -0.22668   -1.30148   -0.21585   -1.28466   -0.19962   -1.25943   -0.18339   -1.23420   -0.16715   -1.20897   -0.15092   -1.18375   -0.13468   -1.15852
  -0.22129   -1.30495   -0.21025   -1.28826   -0.19370   -1.26324   -0.17715   -1.23822   -0.16061   -1.21320   -0.14406   -1.18818   -0.12751   -1.16315
  -0.21594   -1.30848   -0.20470   -1.29194   -0.18784   -1.26713   -0.17097   -1.24232   -0.15411   -1.21750   -0.13725   -1.19269   -0.12039   -1.16788
  -0.21064   -1.31208   -0.19919   -1.29569   -0.18202   -1.27109   -0.16485   -1.24649   -0.14767   -1.22189   -0.13050   -1.19729   -0.11333   -1.17269
  -0.20539   -1.31575   -0.19373   -1.29950   -0.17625   -1.27512   -0.15877   -1.25074   -0.14129   -1.22636   -0.12381   -1.20198   -0.10633   -1.17760
  -0.20018   -1.31949   -0.18832   -1.30338   -0.17054   -1.27922   -0.15275   -1.25506   -0.13496   -1.23091   -0.11718   -1.20675   -0.09939   -1.18259
  -0.19502   -1.32329   -0.18296   -1.30733   -0.16487   -1.28340   -0.14678   -1.25947   -0.12870   -1.23553   -0.11061   -1.21160   -0.09252   -1.18766
  -0.18991   -1.32715   -0.17765   -1.31135   -0.15926   -1.28765   -0.14087   -1.26394   -0.12249   -1.24024   -0.10410   -1.21653   -0.08571   -1.19283
  -0.18484   -1.33108   -0.17239   -1.31543   -0.15370   -1.29196   -0.13502   -1.26849   -0.11634   -1.24502   -0.09765   -1.22155   -0.07897   -1.19808
  -0.17983   -1.33507   -0.16718   -1.31958   -0.14820   -1.29635   -0.12922   -1.27311   -0.11025   -1.24988   -0.09127   -1.22664   -0.07229   -1.20341
  -0.17487   -1.33913   -0.16202   -1.32380   -0.14275   -1.30080   -0.12349   -1.27781   -0.10422   -1.25482   -0.08495   -1.23182   -0.06568   -1.20883
  -0.16995   -1.34325   -0.15692   -1.32808   -0.13736   -1.30533   -0.11781   -1.28258   -0.09825   -1.25983   -0.07870   -1.23708   -0.05914   -1.21432
  -0.16509   -1.34742   -0.15187   -1.33242   -0.13203   -1.30992   -0.11219   -1.28742   -0.09235   -1.26491   -0.07251   -1.24241   -0.05267   -1.21991
  -0.16029   -1.35166   -0.14687   -1.33683   -0.12675   -1.31458   -0.10663   -1.29232   -0.08651   -1.27007   -0.06639   -1.24782   -0.04627   -1.22557
  -0.15553   -1.35596   -0.14193   -1.34130   -0.12154   -1.31930   -0.10114   -1.29730   -0.08074   -1.27530   -0.06034   -1.25331   -0.03994   -1.23131
  -0.15084   -1.36032   -0.13705   -1.34583   -0.11638   -1.32409   -0.09571   -1.30235   -0.07503   -1.28061   -0.05436   -1.25887   -0.03369   -1.23713
  -0.14619   -1.36474   -0.13223   -1.35042   -0.11128   -1.32894   -0.09034   -1.30746   -0.06939   -1.28598   -0.04845   -1.26451   -0.02750   -1.24303
  -0.14160   -1.36921   -0.12746   -1.35507   -0.10625   -1.33386   -0.08504   -1.31264   -0.06382   -1.29143   -0.04261   -1.27022   -0.02140   -1.24900
  -0.13707   -1.37374   -0.12275   -1.35978   -0.10128   -1.33884   -0.07980   -1.31789   -0.05832   -1.29695   -0.03684   -1.27600   -0.01536   -1.25506
